Title,Summary,Start_Date,Frequency,Count,Type,Genres,Title_Card_Img
Frieren: Beyond Journey's End Season 2,Second season of Sousou no Frieren. ,01/16/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1921/154528.jpg
Hell's Paradise Season 2,Second season of Jigokuraku. ,01/11/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1772/154456.jpg
Jujutsu Kaisen: The Culling Game Part 1,Sequel to Jujutsu Kaisen 2nd Season. ,01/09/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1127/154488.jpg
[Oshi No Ko] Season 3,"The story moves on to a new stage??half a year has passed since the release of ""POP IN 2."" Thanks to Mem-cho's hard work, B-Komachi are on the verge of their big break. Aqua continues to grow as a personality, while Akane advances on her path to becoming a skilled actress. Meanwhile, Kana has lost her usual cheerfulness. Finally, in her quest to uncover the truth behind Ai and Gorou's deaths, Ruby rises through the entertainment industry—using lies as her weapon. ",01/14/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1979/153329.jpg
Fire Force Season 3 Part 2,Second part of Enen no Shouboutai: San no Shou. ,01/10/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1508/152472.jpg
Fate/strange Fake ,"Fate/strange Fake centers around an imperfect copy of a Grail War based on the Third Holy Grail War in Fuyuki. Following the conclusion of the third Grail War, a US-based organization with magi distinct from the London-based Mage Association, used data from Fuyuki's Grail War to plan their own ritual. Seventy years later, they used the city of Snowfield as the Sacred Land for their own Grail War. However, they were unable to successfully replicate every aspect of the ritual, resulting in it acting only as an imitation that has lost the Saber class and allowed for the summoning of strange Servants due to the blurring of the definition of a ""hero."" Rohngall and his pupil, Faldeus, have been dispatched by the Mage's Association to investigate the city and the state of the war. Faldeus, a US organization spy, has Rohngall sniped upon his arrival, despite knowing that Rohngall is a puppet. He declares that their Holy Grail War has been in development and is real, causing a commotion at the Clock Tower, and that he wishes to ""advertise"" the project to the Association. ",01/03/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1752/150192.jpg
Chained Soldier Season 2,Second season of Mato Seihei no Slave. ,01/08/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1668/148737.jpg
Sentenced to Be a Hero,"""Hero"" is the worst punishment in the world. Those convicted of heinous crimes are sentenced to become ""Heroes"" and forced to enter the mandatory military service in the war against the Demon Lords. These convicts are not even allowed to die—if killed, they will be resurrected to fight another day. Hero Xylo Forbartz, former head of the Order of the Holy Knights, leads a penal unit of deplorables fighting on the front lines. It is in these direst of circumstances that he meets Teoritta, one of the world's strongest weapons. ""When every last enemy has been defeated, you are to shower me with praise and pat my head."" In order to survive and to take revenge on those who wronged him, he makes a pact with the goddess and launches headfirst into a maelstrom of war and intrigue. ",01/03/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1062/151911.jpg
My Hero Academia: Vigilantes Season 2,Second season of Vigilante: Boku no Hero Academia Illegals. ,01/05/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1592/154049.jpg
Trigun Stargaze,"Two and a half years have passed since the Lost July incident, a catastrophe that reduced an entire city to ruins and sent shockwaves across the world. On the desert planet of No Man's Land, Vash the Stampede, a gunslinger who swore never to take a life, faces his final confrontation with his brother, Millions Knives, who seeks the complete destruction of humanity. As their fates collide, the battle that will determine the future of both mankind and the planet begins. ",01/10/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1009/152508.jpg
Golden Kamuy Final Season,Final chapter of Golden Kamuy. ,01/05/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1809/136686.jpg
You and I Are Polar Opposites,"Next to Miyu Suzuki, a trendy and bubbly high school girl, sits Yuusuke Tani, a quiet and frank boy. Their interactions are brief, limited to Suzuki's unprompted random questions and Tani's succinct answers. Yet, beneath these simple exchanges, feelings of love are quietly blossoming. Suzuki sees Tani for who he is: a straightforward boy who respects everyone equally, completely unconcerned about fitting in. Unlike Tani, she is too hung up on what everyone else thinks, desperate to keep her crush a secret. However, a slight misunderstanding leads to Suzuki confessing her feelings—and to her delight, Tani feels the same. Jittery with excitement, the young couple starts dating, embarking on a wonderful journey of friendship and love. ",01/11/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1140/154457.jpg
In the Clear Moonlit Dusk,"Every time Yoi Takiguchi so much as lets out a sigh, her female classmates squeal in admiration and awe. She has been dubbed the school's ""prince"" by virtue of her boyishly attractive appearance and casual disposition. However, she chooses to be indifferent toward the attention she receives and spends her days normally—that is, until the school's other prince, Kohaku Ichimura, waltzes into her life and calls her beautiful. Kohaku is nothing like a prince—he acts thoughtlessly and does as he pleases. But when he compliments her, Yoi feels flustered, and the way he looks at her gets her all nervous. He is the first boy to acknowledge her as a girl, and her attempts to distance herself prove futile as he seems to have set his sights on her. While Yoi keeps telling herself that it is nothing serious, even she cannot completely ignore the stir Kohaku causes in her heart. ",01/11/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1653/149714.jpg
Tune In to the Midnight Heart,"When Arisu Yamabuki was all alone in bed at night, he was able to find solace in the voice of a radio host who went by ""Apollo."" However, one day, she simply stopped broadcasting without any explanation. Years then passed, and Arisu is now a second-year high-schooler. He makes it his mission to search for Apollo, as there is something he wants to tell her. He doesn't know what she looks like, or even what her real name is, but he manages to get some leads on her in his school's broadcasting club. That's where he meets four girls who all dream to get a job where they can make full use of their voices! Just who is Apollo, and how will those four's dreams pan out? ",01/06/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1769/152823.jpg
Medalist Season 2,Second season of Medalist. ,01/25/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1882/154115.jpg
Tamon's B-Side,"Idol group F/ACE has recently risen in popularity all thanks to Tamon Fukuhara—its handsome, wild, and talented leader. Seventeen-year-old Utage Kinoshita is one of the vocal fans who greatly admires F/ACE. As her life revolves around worshiping Tamon, Utage works at a housecleaning company to earn money and continue supporting him. When her coworker gets sick, Utage is assigned to a new client with the same name as Tamon. She believes it is merely a coincidence—until she comes face to face with the real celebrity! Her surprise only grows when she discovers that, unlike the extroverted superstar known to the public, Tamon is actually a gloomy guy with no friends or self-confidence. Given that Utage's adoration for Tamon knows no bounds, she vows to keep his secret and stay by his side—but dealing with Tamon's contrasting behaviors in and out of work might be the toughest job out there. ",01/04/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1474/153320.jpg
MF Ghost Season 3,Third season of MF Ghost. ,01/04/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1419/154458.jpg
Journal with Witch,"Thirty-five-year-old novelist Makio Koudai never had a good relationship with her older sister Minori, who always berated her for being different. Due to this, Makio is not stricken with grief upon hearing the news that Minori and her husband die in a car crash. But when Makio is asked to identify their bodies, she runs into her 15-year-old niece, Asa Takumi, whom she has not seen in years. Struggling to process her parents' death, Makio reassures Asa that her complicated feelings are valid and suggests that the teenager start writing in a diary as a way to cope with the loss. Upon learning that no other relatives wanted to take in Asa, Makio decides to become her guardian despite her lack of experience. In a world full of uncertainty, the novelist and teenager must learn to live with each other while figuring themselves out. ",01/04/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1791/154233.jpg
"'Tis Time for ""Torture,"" Princess Season 2","Second season of Himesama ""Goumon"" no Jikan desu. ",01/12/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1272/153326.jpg
"There was a Cute Girl in the Hero's Party, so I Tried Confessing to Her","Youki died in a traffic accident and was reborn in a fantasy world! However, instead of being the hero of legends, he ended up reincarnating into an overpowered demon. Having no desires to become the Demon Lord, he sits around in the Demon Lord's castle as a random low rank guardian. One day, the Hero's party comes to attack and on a whim he knocks out the entire hero party. Healing up the Hero party and then preparing to send them back to town, he notices the female priest and falls in love at first sight! ",01/06/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1573/152828.jpg
"Jack-of-All-Trades, Party of None","""Orn Doula, today will be your last day in the party."" Orn, once a skilled Swordsman, had adapted to the role of Enchanter to fill a crucial gap in the Hero Party. However, one day, the party leader abruptly dismisses him, claiming his skills are lacking. Brander a ""weakling"" and a ""jack of all trades, master of none,"" by his former comrades, Orn is cast out without a second thought. Determined to start anew, he returns to adventuring—this time as a Swordsman, the role he originally excelled in. But his time as an Enchanter was far from wasted. The experience, knowledge, and countless original spells he developed in the Hero Party have forged him into a warrior unlike any other. Now, armed with an unconventional set of skills, Orn is ready to carve his own path—one that will prove his true strength to the world. ",01/04/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1486/153135.jpg
The Holy Grail of Eris,"It is common knowledge that nobles will do anything for power; lying, manipulation, and extortion are the usual tactics. However, one family is exempt from this generalization: House Grail, whose main tenets are truth and integrity. The youngest daughter, Constance Grail, is just as moral as the rest of her family, believing in always doing the right thing and helping those in need. However, these ideals do not help her when her fiancé cheats on her with another woman. Framed by his lover in the hope of her downfall, Constance's pleas for justice are ignored. Everyone turns a blind eye, save for one—the spirit of the infamous Scarlet Castiel—who possesses Constance and turns the tables on her accuser. However, this aid doesn't come without a price. Ten years ago, Scarlet was executed for the attempted murder of Princess Cecilia. But this was actually a setup; as blunt and harsh as Scarlet could be, she would never stoop so low as to use poison. She has no idea who orchestrated her incrimination, but Scarlet demands that Constance—as the only one who can see her—help her exact revenge on all those who wronged her! ",01/08/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1655/153574.jpg
Shiboyugi: Playing Death Games to Put Food on the Table,"Yuki wakes up to find herself in an unfamiliar manor, wearing a maid uniform and lying on a luxurious bed. Soon, she discovers five more girls, all dressed the same as her. This is the Ghost House, and the only way they can survive is to make it through the traps that lie in wait—deadly games full of blowguns, buzz saws, locked rooms, and weapons. It's a hopeless, terrifying situation for everyone there...well, everyone except Yuki. After all, this is her career at seventeen. Do you think that's odd? She would agree. But that's how some people are—they earn their living playing death games. ",01/07/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1215/153630.jpg
The Darwin Incident,"The Animal Liberation Alliance, an eco-terrorist organization, rescues a pregnant chimpanzee from an animal testing lab—only for it to give birth to a half-human, half-chimpanzee ""humanzee"" named Charlie! Fifteen years later, Charlie's human foster parents are finally ready to send him to a normal high school, where he makes his first friend: a human girl named Lucy. In the meantime, however, the ALA's stance has become ever more extreme, and now they're here to drag Charlie into their terrorist plot... ",01/07/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1341/152829.jpg
The Invisible Man and His Soon-to-Be Wife,"Yakou, a gentle human woman, works at a detective agency. Tounome is a smart and gentle invisible man. The invisible man's ability is perfect for detective work. However, the blind Yakou can still figure out where Tounome is, even if he disappears. Before they know it, the two become attracted to each other...? ",01/08/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1033/152494.jpg
The Villainess Is Adored by the Prince of the Neighbor Kingdom,"On the day before her downfall, Lady Tiararose Lapis Clementille recalls that she is in an otome game that she had once played in her former life. She used to adore the main love interest Prince Hartknights Lapis-Lazuli Lactomuth, but unfortunately, she was not reincarnated as the heroine, but rather as is his worst enemy—the villainess fiancée. At their graduation ceremony, without blinking an eye, Hartknights condemns Tiararose for alleged crimes, breaks off his engagement, and proclaims the heroine Akari as his new bride-to-be. No matter whether Tiararose is innocent, he banishes her from the kingdom. But before her sentence can be carried out, a shocking figure appears. Aquasteed Marineforest, the prince of a powerful neighboring country, has been harboring feelings for Tiararose for quite some time, and announces his intention to marry her! Adored by the prince of another kingdom, what awaits the villainess on her path to a happy ending? ",01/11/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1383/151284.jpg
"Noble Reincarnation: Born Blessed, So I'll Obtain Ultimate Power","Noah, the world's strongest six-year-old, holds the fortunate position of being the Thirteenth Prince of the emperor. Born with an infinite level cap and a cheat skill that allows him to add the abilities of those he commands to his own, he is unmatched. Reincarnated into a noble family, Noah thrives in an environment enriched with exceptional education and abundant resources, allowing his talents to blossom. However, behind the glamorous facade of aristocratic society lurks a world of conspiracies and power struggles. ",01/08/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1629/153722.jpg
Hell Mode: The Hardcore Gamer Dominates in Another World with Garbage Balancing,"""Level up even while offline?! That's not a game on 'easy mode'—that's just an AFK game!"" The online game Kenichi Yamada had been playing religiously is shutting down its servers, leaving him with a void in his heart. He looks for a new game to fill it, but everything he finds is way too easy. The kind of game he likes—the kind punishing enough to make players want to spend thousands of hours on it—just isn't around anymore. ""What's this? 'You are invited to a game that will never end.'"" Kenichi stumbles upon an untitled game, one promising incomparable challenge with unprecedented potential. Without hesitation, he selects the ""Hell Mode"" difficulty. Lo and behold, he finds himself reincarnated in another world as a serf! Now called Allen, he sets out to unlock the secrets of his mystery-laden Summoner class; without the convenience of walkthroughs, game guides, or online forums, he must grope his way to the top of his new world! ",01/10/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1151/152479.jpg
Dead Account,"Always ready for a fight! Destruction for destruction's sake! The online streamer Aoringo is a troll, making the worst of the worst of boundary-pushing flamebait content and raking in the revenue from the hate-watchers. You may think he's nothing more than a bottom feeder and a drain on society, but in reality, he's high school dropout Soji Enishiro, a caring older brother with a sweet tooth who loves nothing more than his little sister. His viral videos? Just a way to pay his sister's medical bills. And even if all of humanity hates him, he doesn't care, so long as his little sister gets better. But then, something very strange begins to happen...
 Don't miss the debut of this modern-day occult exorcism battle manga! ",01/10/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1622/154192.jpg
Isekai Office Worker: The Other World's Books Depend on the Bean Counter,"Already at his wit's end, 29-year-old corporate slave Seiichirou Kondou suddenly witnesses the ground opening up and swallowing a woman. Amid his efforts to save her, the two are transported to another world. He soon learns that the people in this world summoned a saint to save their kingdom from a plague. As compensation for dragging Kondou into the mess, the kingdom assures him that they will provide him with a comfortable life and fulfill any of his desires. To everyone's surprise, Kondou asks for a job. After successfully becoming an accountant at the Royal Palace, Kondou devotes himself to his new post. His accurate and thorough work catches the attention of various high-ranking officials and knights, especially Aresh Indolark, the cold-hearted Knight Captain. As Kondou adjusts to his new exhausting and dangerous environment, he begins to find solace in the company of Aresh, whose icy demeanor may be just a facade. ",01/06/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1510/153806.jpg
Hana-Kimi,"After seeing Izumi Sano at a high jump competition, Mizuki Ashiya became completely enamored by him—even moving from the United States to Japan and enrolling in the same institute as him. However, Sano's academy is an all-boys school! Due to her bright personality, Mizuki quickly befriends her class without drawing suspension to her gender. To her surprise, she ends up being not only Sano's classmate but also his roommate. Though she is now able to admire Sano in close proximity, she learns that Sano has quit high jumping and refuses to pick up the sport ever again for unknown reasons. Moreover, the academy's doctor, Hokuto Umeda, might be onto Mizuki's facade. Now, Mizuki has to find a way to reignite Sano's passion—all without revealing her secret. ",01/04/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1490/152041.jpg
Kunon the Sorcerer Can See,"Born blind, Kunon aims to be the first person to use water magic to create new eyes for himself. After five months of study, he has already surpassed his teacher, and continues to grow his talents. Not only can his magic help him sense color, but he can also use it to make handy items and even conjure a whole cat! Word of his skills and ingenuity soon reach the court and earn him a spot as disciple to the most powerful magician in the land. But is his ultimate goal even attainable? ",01/04/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1704/154459.jpg
Kaya-chan Isn't Scary,"Kaya-chan is infamous at kindergarten for being a troublemaker. But Ms. Chie, who's been assigned to look after her, soon discovers Kaya's hidden abilities. Get ready for the ultimate horror-action adventure set in kindergarten! ",01/11/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1194/153705.jpg
A Gentle Noble's Vacation Recommendation,"When Lizel mysteriously finds himself in a city that bears odd similarities to his own but clearly isn't, he quickly comes to terms with the unlikely truth: this is an entirely different world. Even so, laid-back Lizel isn't the type to panic. He immediately sets out to learn more about this strange place, and to help him do so, hires a seasoned adventurer named Gil as his tour guide and protector. Until he's able to find a way home, Lizel figures this is a perfect opportunity to explore a new way of life adventuring as part of a guild. After all, he's sure he'll go home eventually... might as well enjoy the otherworldly vacation for now! ",01/08/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1968/152396.jpg
Champignon Witch,"Deep within the Black Forest teeming with poisonous mushrooms, a witch named Luna lives alone. With skin that is poisonous to the touch and a breath that will kill if close enough, she is forced to stay secluded from nearby civilization. Even with these conditions, Luna still visits a nearby city to deliver medicine and buy new books to read. Despite Luna having never done harm to any of the city’s residents, many are scared to associate with her, as she is a black witch in a kingdom ruled by white witches. Only able to watch from a distance while people receive her medicine and freely converse with one another, Luna is drawn toward their lives, even if it sometimes means putting herself in danger. ",01/09/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1499/152613.jpg
Roll Over and Die,"Flum Apricot was never meant to be a hero. Despite zero stats across the board and a power she can't even use, she somehow finds herself included in a party of heroes. But Flum's life hits rock bottom when the party's renowned sage, Jean Inteige, decides that the useless girl is dead weight, and arranges to have her sold into slavery. Tossed to monsters to be feasted upon for her master's entertainment, Flum makes the desperate choice to reach for a cursed weapon... and something new awakens within her. A grimdark tale about one woman's blood-soaked quest to reclaim her life! ",01/09/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1360/153435.jpg
Easygoing Territory Defense by the Optimistic Lord: Production Magic Turns a Nameless Village into the Strongest Fortified City,"Van, the fourth son of a powerful noble, is only two years old when he remembers his past life as a salaryman in Japan. With his adult brain in a young body, he's considered a child prodigy...until he displays the ""Production Magic"" skill when he turns eight. In a family that favors offensive magic, this crafting skill is considered useless in battle, and Van is banished to oversee a tiny country town in disgrace. With only his personal maid, the memories of his past life, and his ""worthless"" magic, can Van improve the fortunes of this little village—and himself? ",01/10/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1264/153908.jpg
Dark Moon: The Blood Altar,"Ever since she was a young girl, Sooha was told to hide her superhuman abilities to avoid getting mistaken for a vampire. Having been accused of being one and blamed for her childhood friend's death, Sooha enrolls in Decelis Academy—a night school where supernatural beings, such as vampires and werewolves, allegedly cannot enter. At the academy, Sooha soon encounters Heli, a student who offers friendship despite discovering her secret. Heli introduces Sooha to his close friends—Jaan, Jino, Shion, Jakah, Noa, and Solon—who all have different powers as well. But their connection seems to run deeper than just that; they are curiously drawn to her, feeling as if they would do anything she wishes. In light of a recent murder that is said to be the work of a vampire, Heli and his friends' unsettling history slowly unravels. While the seven boys try to shield Sooha from the world of the supernatural, she inevitably gets entangled in the centuries-old rivalry between vampires and werewolves. As tensions intensify, Sooha realizes that she may be closer than ever to the creatures she hates the most. ",01/10/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1609/152040.jpg
Wash It All Away,"With an endearing protagonist and luscious art, this seaside slice-of-life story offers tranquility in the chaos of the modern world. For two years, Wakana Kinme has run a laundry service in the seaside resort town of Atami, where she's built a fulfilling life making friends with the locals and visiting hot springs. Although Wakana has no knowledge of her own past, her cleaning services safeguard memories imbued in customers' precious items. ",01/05/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1940/154234.jpg
You Can't Be In a Rom-Com with Your Childhood Friends!,"High schooler Eiyuu has a dilemma—his two childhood friends, Shio and Akari, have grown up to be almost too cute! Even though they don't seem to think much of it, he can't help but see them in a different light. If they ever realized how his feelings had changed, the embarrassment would be overwhelming! However, what Eiyuu doesn't know is that Shio and Akari might have feelings of their own. A slow-burning love triangle where all the heroines are childhood friends—one that's as frustrating as it is irresistible! ",01/06/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1729/153502.jpg
"Anyway, I'm Falling in Love with You. Season 2","Second season of Douse, Koishite Shimaunda.. ",01/09/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1054/153719.jpg
The Case Book of Arne,"Arne Neuntöte is a vampire detective who manipulates supernatural powers. Lynn Reinweiß is a nobleman's daughter who loves vampires. Their worlds should never have crossed, but they join hands to solve a bloody mystery. In the darkest of nights, Lynn finds herself in desperate need of help. Then she wanders into the mysterious city of ""Lügenberg,"" where non-humans live. Lynn's world changes drastically when she encounters ""Arne,"" a vampire who is called ""the worst"" in the city. And tonight, a new ""murder case"" has occurred. What is the truth behind the bizarre incidents that take place in a world where humanity and the bizarre intersect? ""Come on, human. You may dance merrily under the crimson moon."" ",01/07/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1112/152731.jpg
An Adventurer's Daily Grind at Age 29,"This story is about Shinonome Hajime, an adventurer of Silver Range. He's dedicated to fulfilling missions from the guild. One day when completing a quest for monster meat, he finds a strange girl named Lily in a dungeon who's far more trouble than she's worth. Saving the girl from certain death, her story reminds him of his similar past and he takes her under his care... ",01/07/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1765/154087.jpg
